age,Sr,eSr,d13C_berner,ed13C,d13C_10_smooth,ed13C,d34S,ed34S,fR,efR,fL,efL,fA,efA,fA_Godderis,efA_Godderis,fAw_fA,efAw_fA,fAw_fA_Godderis,efAw_fA_Godderis,fD,efD,fD_Godderis,efD_Godderis,RT,eRT,GEOG,eGEOG,GEOG_Godderis,eGEOG_Godderis,fSR,eFSR,fC,efC,sCAPd34S,esCAPd34S,sCAPd13C,esCAPd13C,sfpy,esfpy,smO2_1_berner,esmO2_1_berner,smO2_1_bergman,esmO2_1_bergman,smO2_1_fix,esmO2_1_fix,smO2_5_berner,esmO2_5_berner,smO2_5_bergman,esmO2_5_bergman,smO2_5_fix,esmO2_5_fix,smO2_bergman,esmO2_bergman,smO2_lenton,esmO2_lenton
330,78,3.841308571,2.5,0.5450544,1.37628459,2.051759732,14.7,0.290516781,0.8074,0.064592,1.41,0.564,0.77,0.385,0.8,0.18,1,0.2,0.85715,0.428575,1.19,0.595,1.152440873,0.259299196,0.020084856,0.010042428,0.6,5,0.2245,1.25,1.07,0.18725,0.75,0.16875,29,4,32.46802286,0,0,0,7.629718554,0,7.629718554,0,7.629718554,0,6.574712644,0,6.574712644,0,6.574712644,0,7.936458676,0,3.313686044,0
320,81,2.290606795,3.2,0.6235092,1.582429759,3.25768899,14.9,0.351782761,0.7907,0.063256,1.41,0.564,0.79,0.395,0.803,0.180675,1,0.2,0.86,0.43,1.15,0.575,1.147816859,0.258258793,0.020513215,0.010256608,0.6,5,0.424,1.25,1.07,0.18725,0.75,0.16875,30.2,4,32.58593325,0,0,0,5.442176871,0,5.442176871,0,5.442176871,0,4.167071394,0,4.167071394,0,4.167071394,0,3.179292649,0,3.179292649,0
310,82,1.514888768,4,0.5211324,3.024088374,2.461204077,14.2,0.377157287,0.7743,0.061944,1.45,0.58,0.8,0.4,0.807,0.181575,1,0.2,0.86285,0.431425,1.14,0.57,1.143192844,0.25721839,0.019341722,0.009670861,0.7,5,0.6235,1.25,1.14,0.1995,0.75,0.16875,30.2,4,32.58593325,0,0,0,3.413940256,0,3.413940256,0,3.413940256,0,2.005489552,0,2.005489552,0,2.005489552,0,1.496407248,0,1.496407248,0
300,82,3.205492335,4.4,0.3710052,2.630640218,2.66881735,13.7,0.239332405,0.758,0.06064,1.45,0.58,0.8,0.4,0.81,0.18225,1,0.2,0.8657,0.43285,1.13,0.565,1.13856883,0.256177987,0.023074333,0.011537167,0.9,5,0.823,1.25,1.21,0.21175,0.75,0.16875,33,4,32.70379964,0,0,0,0.87177403,0,0.87177403,0,0.87177403,0,0.87177403,0,0.87177403,0,0.87177403,0,2.159857078,0,2.159857078,0
290,83,4.510047173,4.7,0.5970492,3.189817792,5.111573359,12.8,0.936205985,0.7422,0.059376,1.45,0.58,0.8,0.4,0.848,0.1908,1,0.2,0.7896,0.3948,1.1,0.55,0.987265009,0.222134627,0.026806944,0.013403472,1.1,5,1.1065,1.25,1.21,0.21175,0.75,0.16875,34.5,4,32.76271084,0,0,0,7.482780808,0,-1.898573074,0,-0.87177403,0,7.482780808,0,-1.898573074,0,-0.87177403,0,4.080003456,0,4.080003456,0
280,82,3.739161121,4.4,0.4866516,3.090380164,1.921764862,13,0.435553288,0.7269,0.058152,1.31,0.524,0.81,0.405,0.886,0.19935,1,0.2,0.7135,0.35675,1.08,0.54,0.835961189,0.188091267,0.033520816,0.016760408,1.3,5,1.39,1.25,1.07,0.18725,0.75,0.16875,35.8,4,32.88062123,0,0,0,-0.92734821,0,-6.974841642,0,-3.413940256,0,-0.92734821,0,-6.974841642,0,-3.413940256,0,-6.974841642,0,-6.974841642,0
270,77,2.562544608,4.7,0.660672,3.942024875,2.787805732,14.4,1.435256738,0.7122,0.056976,1.31,0.524,0.81,0.405,0.918,0.20655,1,0.2,0.71275,0.356375,1.02,0.51,0.788963008,0.177516677,0.040234688,0.020117344,1.5,5,0.7155,1.25,1.1,0.1925,0.75,0.16875,38.4,4,32.97283771,0,0,0,2.363639188,0,-6.772677717,0,-5.442176871,0,2.363639188,0,-6.772677717,0,-5.442176871,0,-6.772677717,0,-6.772677717,0
260,71,4.465351479,4,0.3382128,2.22989447,4.201775795,16.2,0.936205985,0.6983,0.055864,1.31,0.524,0.84,0.42,0.949,0.213525,1,0.2,0.712,0.356,0.97,0.485,0.741964827,0.166942086,0.041422301,0.020711151,1.8,5,0.041,1.25,1.14,0.1995,0.75,0.16875,41,4,32.96183861,0,0,0,-4.843487316,0,-0.38623343,0,-7.629718554,0,-4.843487316,0,-0.38623343,0,-7.629718554,0,-0.38623343,0,-0.38623343,0
250,73,8.111908001,1,0.4895712,1.984751553,3.19002156,19.2,2.371384968,0.6853,0.054824,1.43,0.572,0.86,0.43,0.967,0.217575,1,0.2,0.6966,0.3483,0.96,0.48,0.644329897,0.144974227,0.042609915,0.021304958,1.9,5,-0.710333333,1.25,1.11,0.19425,0.75,0.16875,44.8,4,32.58593325,0,0,0,-25.03473344,0,1.509680757,0,-4.76249948,0,-25.03473344,0,1.509680757,0,-4.76249948,0,1.509680757,0,1.509680757,0
240,75,2.62299964,2,0.2462076,2.121149799,0.705624823,20.4,1.878424872,0.6733,0.053864,1.36,0.544,0.89,0.445,0.971,0.218475,1,0.2,0.68528,0.34264,0.94,0.47,0.577926016,0.130033354,0.043797529,0.021898765,1.7,5,-0.5714,1.25,1.09,0.19075,0.75,0.16875,46.4,4,32.05428058,0,0,0,-7.987834292,0,-4.520667592,0,-1.152946868,0,-7.987834292,0,-4.520667592,0,-1.152946868,0,-4.520667592,0,-4.520667592,0
